E_1,E_2,E_3,E_4,E_5,Era_1,Era_2,Era_3,Era_4,Era_5,Erd_1,Erd_2,Erd_3,Erd_4,Erd_5,Erd_6,Erd_7,Erd_8,Erd_9,Erd_10,Erd_11,Erd_12,Erd_13,Erd_14,Erd_15,class1,class2,class3,class4
0.021336966,0.021330085,0.021335883,0.021345094,0.02133883,0.999995946,0.999998005,0.999984757,0.999998243,0.999996011,4.57E-07,2.72E-07,1.81E-06,1.84E-07,3.78E-07,2.38E-06,1.03E-06,1.20E-05,9.34E-07,2.39E-06,1.15E-06,6.62E-07,1.33E-06,5.79E-07,1.15E-06,0,3,5,11
0.02133349,0.021331239,0.021338883,0.021342111,0.021337396,0.999992966,0.9999979,0.999984826,0.999997148,0.999993202,6.14E-07,2.36E-07,1.79E-06,3.77E-07,5.40E-07,2.99E-06,1.16E-06,1.13E-05,1.56E-06,2.90E-06,3.35E-06,6.72E-07,1.98E-06,8.53E-07,3.29E-06,0,3,5,11
0.021340741,0.021337178,0.021344157,0.021350248,0.021351887,0.999993407,0.999996792,0.999978596,0.999996149,0.999992855,7.40E-07,2.76E-07,2.29E-06,3.73E-07,6.69E-07,3.35E-06,1.63E-06,1.67E-05,1.84E-06,3.53E-06,2.41E-06,1.26E-06,2.26E-06,1.57E-06,2.86E-06,0,3,5,11
0.021343545,0.021335977,0.021341528,0.021354647,0.021354624,0.999991583,0.999997088,0.999987557,0.999995523,0.999991386,6.20E-07,2.06E-07,1.62E-06,3.39E-07,5.30E-07,3.55E-06,1.11E-06,8.25E-06,1.78E-06,3.34E-06,4.17E-06,1.56E-06,2.44E-06,2.29E-06,4.67E-06,0,3,5,11
0.021335869,0.021332679,0.021337915,0.021346037,0.021341915,0.99999542,0.999998118,0.9999842,0.999997713,0.999995514,4.49E-07,2.07E-07,1.70E-06,2.69E-07,4.64E-07,2.81E-06,1.03E-06,1.21E-05,1.04E-06,2.59E-06,1.25E-06,6.05E-07,1.87E-06,9.25E-07,1.37E-06,0,3,5,11
0.021335031,0.021331382,0.021339419,0.021344004,0.021336132,0.999994982,0.999997949,0.99998408,0.999997929,0.999995402,4.45E-07,1.98E-07,2.09E-06,2.15E-07,3.63E-07,2.53E-06,1.07E-06,1.24E-05,9.92E-07,2.25E-06,1.97E-06,7.51E-07,1.36E-06,8.09E-07,1.92E-06,0,3,5,11
0.021330973,0.021331502,0.021340322,0.021347209,0.021337245,0.99998885,0.999997729,0.999988039,0.999996018,0.999986587,6.57E-07,3.36E-07,1.22E-06,4.43E-07,6.41E-07,5.50E-06,1.03E-06,8.73E-06,2.15E-06,5.84E-06,4.87E-06,8.06E-07,1.87E-06,1.27E-06,6.82E-06,0,3,5,11
0.021335213,0.021331454,0.021341827,0.02134801,0.021344972,0.999991062,0.999997114,0.999984717,0.999992737,0.999991059,6.39E-07,3.78E-07,1.39E-06,5.92E-07,6.19E-07,4.42E-06,1.51E-06,1.15E-05,4.47E-06,4.50E-06,3.76E-06,8.89E-07,2.21E-06,2.08E-06,3.71E-06,0,3,5,11
0.021336696,0.021331987,0.021340387,0.021350372,0.021344328,0.999986674,0.999996523,0.99998813,0.999995111,0.99998317,5.51E-07,4.95E-07,1.14E-06,4.79E-07,5.84E-07,4.52E-06,1.46E-06,7.05E-06,2.34E-06,4.88E-06,8.17E-06,1.44E-06,3.56E-06,1.99E-06,1.13E-05,0,3,5,11
0.021340208,0.021330227,0.021343109,0.021348417,0.021346094,0.999990296,0.999997074,0.999985721,0.999994619,0.999990162,6.56E-07,3.81E-07,1.42E-06,6.67E-07,6.31E-07,6.11E-06,1.58E-06,1.04E-05,2.63E-06,6.28E-06,2.84E-06,9.10E-07,2.28E-06,1.98E-06,2.83E-06,0,3,5,11
0.021336708,0.021331902,0.021341521,0.021349053,0.021347062,0.999991908,0.999998187,0.999987007,0.999994708,0.999991237,6.84E-07,2.37E-07,1.17E-06,6.11E-07,6.64E-07,3.66E-06,9.07E-07,9.51E-06,2.12E-06,3.74E-06,3.65E-06,6.10E-07,2.15E-06,2.45E-06,4.28E-06,0,3,5,11
0.021331595,0.021328415,0.021338754,0.021345577,0.021335279,0.999987919,0.99999669,0.99998516,0.999994342,0.999986501,8.02E-07,4.32E-07,1.17E-06,7.17E-07,8.14E-07,5.39E-06,1.83E-06,1.07E-05,3.51E-06,5.84E-06,5.76E-06,9.65E-07,2.79E-06,1.33E-06,6.74E-06,0,3,5,11
0.02133337,0.021330766,0.021341835,0.021346946,0.02134008,0.99999328,0.999997841,0.999986486,0.999996711,0.999993097,4.53E-07,3.12E-07,1.61E-06,3.95E-07,4.66E-07,2.99E-06,1.12E-06,1.01E-05,1.78E-06,3.48E-06,3.19E-06,6.53E-07,1.62E-06,1.04E-06,2.87E-06,0,3,5,11
0.021334716,0.021330809,0.021341023,0.021351167,0.021339194,0.999992,0.999996883,0.999988304,0.999994104,0.999991305,6.94E-07,4.78E-07,1.11E-06,6.43E-07,6.62E-07,4.02E-06,1.69E-06,8.24E-06,3.66E-06,4.51E-06,3.14E-06,8.54E-07,2.19E-06,1.45E-06,3.43E-06,0,3,5,11
0.021337921,0.021330725,0.021342014,0.021347268,0.021340574,0.999990809,0.999997513,0.999992127,0.99999467,0.999989833,7.93E-07,4.87E-07,9.20E-07,7.46E-07,7.41E-07,5.63E-06,1.07E-06,5.47E-06,2.64E-06,5.99E-06,2.65E-06,8.19E-07,1.34E-06,1.82E-06,3.34E-06,0,3,5,11
0.021310212,0.021299201,0.021321395,0.021331654,0.021319087,0.999989255,0.999997462,0.999988763,0.999995898,0.99999028,6.74E-07,1.91E-07,1.02E-06,3.59E-07,5.76E-07,4.85E-06,1.12E-06,8.10E-06,1.99E-06,4.67E-06,5.14E-06,1.17E-06,1.99E-06,1.68E-06,4.39E-06,0,3,5,11
0.021329478,0.021328425,0.021336078,0.021343614,0.021338692,0.9999894,0.999996073,0.999989456,0.999994237,0.999991564,5.64E-07,3.77E-07,8.02E-07,4.73E-07,5.28E-07,5.40E-06,2.01E-06,7.35E-06,3.72E-06,4.82E-06,4.53E-06,1.46E-06,2.26E-06,1.49E-06,2.99E-06,0,3,5,11
0.021338401,0.021331506,0.021343996,0.02135293,0.02134853,0.999984625,0.99999651,0.99998524,0.999990329,0.999975007,4.23E-07,2.23E-07,1.33E-06,7.01E-07,4.74E-07,5.42E-06,2.31E-06,1.07E-05,5.30E-06,6.56E-06,9.46E-06,8.94E-07,2.61E-06,3.60E-06,1.79E-05,0,3,5,11
0.021339208,0.02132988,0.021343335,0.021348118,0.021343159,0.999982713,0.999997061,0.999987728,0.999993709,0.999979948,7.90E-07,3.32E-07,1.11E-06,4.74E-07,7.46E-07,5.52E-06,1.51E-06,7.60E-06,3.13E-06,6.24E-06,1.08E-05,9.93E-07,3.44E-06,2.57E-06,1.29E-05,0,3,5,11
