solver,activation,H1,H2,PCA,class,Tr,Ts
adam, tanh,15,25, on, class3,0.88667426,0.634090909
adam, tanh,15,25, on, class4,0.830296128,0.509090909
adam, tanh,15,25, off, class1,0.976651481,0.890909091
adam, tanh,15,25, off, class2,0.939066059,0.768181818
adam, tanh,15,25, off, class3,0.894646925,0.604545455
adam, tanh,15,25, off, class4,0.843394077,0.484090909
adam, tanh,25,25, on, class1,0.985193622,0.909090909
adam, tanh,25,25, on, class2,0.953302961,0.777272727
adam, tanh,25,25, on, class3,0.943052392,0.640909091
adam, tanh,25,25, on, class4,0.963553531,0.511363636
adam, tanh,25,25, off, class1,0.977790433,0.947727273
adam, tanh,25,25, off, class2,0.974373576,0.802272727
adam, tanh,25,25, off, class3,0.980068337,0.609090909
adam, tanh,25,25, off, class4,0.958428246,0.436363636
adam, tanh,30,25, on, class1,0.978359909,0.922727273
adam, tanh,30,25, on, class2,0.964123007,0.779545455
adam, tanh,30,25, on, class3,0.971526196,0.659090909
adam, tanh,30,25, on, class4,0.941343964,0.515909091
adam, tanh,30,25, off, class1,0.984624146,0.913636364
adam, tanh,30,25, off, class2,0.986332574,0.784090909
adam, tanh,30,25, off, class3,0.953302961,0.668181818
adam, tanh,30,25, off, class4,0.976651481,0.531818182
adam, tanh,40,25, on, class1,0.994874715,0.909090909
adam, tanh,40,25, on, class2,0.979498861,0.784090909
adam, tanh,40,25, on, class3,0.985193622,0.615909091
adam, tanh,40,25, on, class4,0.98690205,0.536363636
adam, tanh,40,25, off, class1,0.989179954,0.929545455
adam, tanh,40,25, off, class2,0.989749431,0.770454545
adam, tanh,40,25, off, class3,0.965261959,0.647727273
adam, tanh,40,25, off, class4,0.993735763,0.520454545
adam, relu,15,25, on, class1,0.997722096,0.911363636
adam, relu,15,25, on, class2,0.940205011,0.779545455
adam, relu,15,25, on, class3,0.857061503,0.602272727
adam, relu,15,25, on, class4,0.758542141,0.509090909
adam, relu,15,25, off, class1,0.996013667,0.915909091
adam, relu,15,25, off, class2,0.924829157,0.772727273
adam, relu,15,25, off, class3,0.862186788,0.618181818
adam, relu,15,25, off, class4,0.738610478,0.504545455
adam, relu,25,25, on, class1,0.999430524,0.922727273
adam, relu,25,25, on, class2,0.980068337,0.772727273
adam, relu,25,25, on, class3,0.890091116,0.684090909
adam, relu,25,25, on, class4,0.915148064,0.511363636
adam, relu,25,25, off, class1,0.99715262,0.920454545
adam, relu,25,25, off, class2,0.968678815,0.770454545
adam, relu,25,25, off, class3,0.930523918,0.588636364
adam, relu,25,25, off, class4,0.884396355,0.547727273
adam, relu,30,25, on, class1,1,0.934090909
adam, relu,30,25, on, class2,0.993166287,0.777272727
adam, relu,30,25, on, class3,0.947038724,0.618181818
adam, relu,30,25, on, class4,0.898633257,0.586363636
adam, relu,30,25, off, class1,0.998861048,0.920454545
adam, relu,30,25, off, class2,0.971526196,0.752272727
adam, relu,30,25, off, class3,0.934510251,0.670454545
adam, relu,30,25, off, class4,0.87642369,0.522727273
adam, relu,40,25, on, class1,1,0.925
adam, relu,40,25, on, class2,0.98690205,0.784090909
adam, relu,40,25, on, class3,0.953302961,0.631818182
adam, relu,40,25, on, class4,0.92881549,0.518181818
adam, relu,40,25, off, class1,1,0.938636364
adam, relu,40,25, off, class2,0.985193622,0.781818182
adam, relu,40,25, off, class3,0.961845103,0.631818182
adam, relu,40,25, off, class4,0.924829157,0.561363636
lbfgs, tanh,15,30, on, class1,1,0.920454545
lbfgs, tanh,15,30, on, class2,1,0.722727273
lbfgs, tanh,15,30, on, class3,0.999430524,0.579545455
lbfgs, tanh,15,30, on, class4,0.995444191,0.447727273
lbfgs, tanh,15,30, off, class1,1,0.922727273
lbfgs, tanh,15,30, off, class2,1,0.729545455
lbfgs, tanh,15,30, off, class3,1,0.506818182
lbfgs, tanh,15,30, off, class4,1,0.429545455
lbfgs, tanh,25,30, on, class1,1,0.902272727
lbfgs, tanh,25,30, on, class2,1,0.747727273
lbfgs, tanh,25,30, on, class3,1,0.586363636
lbfgs, tanh,25,30, on, class4,1,0.470454545
lbfgs, tanh,25,30, off, class1,1,0.925
lbfgs, tanh,25,30, off, class2,1,0.729545455
lbfgs, tanh,25,30, off, class3,1,0.6
lbfgs, tanh,25,30, off, class4,1,0.461363636
lbfgs, tanh,30,30, on, class1,1,0.925
lbfgs, tanh,30,30, on, class2,1,0.795454545
lbfgs, tanh,30,30, on, class3,1,0.588636364
lbfgs, tanh,30,30, on, class4,1,0.425
lbfgs, tanh,30,30, off, class1,1,0.915909091
lbfgs, tanh,30,30, off, class2,1,0.706818182
lbfgs, tanh,30,30, off, class3,1,0.6
lbfgs, tanh,30,30, off, class4,1,0.454545455
lbfgs, tanh,40,30, on, class1,1,0.918181818
lbfgs, tanh,40,30, on, class2,1,0.775
lbfgs, tanh,40,30, on, class3,1,0.620454545
lbfgs, tanh,40,30, on, class4,1,0.490909091
lbfgs, tanh,40,30, off, class1,1,0.920454545
lbfgs, tanh,40,30, off, class2,1,0.75
lbfgs, tanh,40,30, off, class3,1,0.545454545
lbfgs, tanh,40,30, off, class4,1,0.479545455
lbfgs, relu,15,30, on, class1,1,0.920454545
lbfgs, relu,15,30, on, class2,1,0.772727273
lbfgs, relu,15,30, on, class3,1,0.579545455
lbfgs, relu,15,30, on, class4,0.960136674,0.479545455
lbfgs, relu,15,30, off, class1,1,0.884090909
lbfgs, relu,15,30, off, class2,1,0.752272727
lbfgs, relu,15,30, off, class3,0.980068337,0.581818182
lbfgs, relu,15,30, off, class4,0.958997722,0.486363636
lbfgs, relu,25,30, on, class1,1,0.911363636
lbfgs, relu,25,30, on, class2,1,0.768181818
lbfgs, relu,25,30, on, class3,1,0.593181818
lbfgs, relu,25,30, on, class4,1,0.513636364
lbfgs, relu,25,30, off, class1,1,0.927272727
lbfgs, relu,25,30, off, class2,1,0.8
lbfgs, relu,25,30, off, class3,1,0.611363636
lbfgs, relu,25,30, off, class4,1,0.506818182
lbfgs, relu,30,30, on, class1,1,0.927272727
lbfgs, relu,30,30, on, class2,1,0.770454545
lbfgs, relu,30,30, on, class3,1,0.584090909
lbfgs, relu,30,30, on, class4,1,0.479545455
lbfgs, relu,30,30, off, class1,1,0.904545455
lbfgs, relu,30,30, off, class2,1,0.779545455
lbfgs, relu,30,30, off, class3,1,0.615909091
lbfgs, relu,30,30, off, class4,1,0.540909091
lbfgs, relu,40,30, on, class1,1,0.943181818
lbfgs, relu,40,30, on, class2,1,0.795454545
lbfgs, relu,40,30, on, class3,1,0.595454545
lbfgs, relu,40,30, on, class4,1,0.529545455
lbfgs, relu,40,30, off, class1,1,0.927272727
lbfgs, relu,40,30, off, class2,1,0.747727273
lbfgs, relu,40,30, off, class3,1,0.606818182
lbfgs, relu,40,30, off, class4,1,0.495454545
sgd, tanh,15,30, on, class1,0.906605923,0.918181818
sgd, tanh,15,30, on, class2,0.866173121,0.768181818
sgd, tanh,15,30, on, class3,0.797835991,0.654545455
sgd, tanh,15,30, on, class4,0.707289294,0.520454545
sgd, tanh,15,30, off, class1,0.904897494,0.925
sgd, tanh,15,30, off, class2,0.861047836,0.761363636
sgd, tanh,15,30, off, class3,0.771640091,0.618181818
sgd, tanh,15,30, off, class4,0.710136674,0.540909091
sgd, tanh,25,30, on, class1,0.907744875,0.913636364
sgd, tanh,25,30, on, class2,0.888382688,0.772727273
sgd, tanh,25,30, on, class3,0.830865604,0.627272727
sgd, tanh,25,30, on, class4,0.791571754,0.529545455
sgd, tanh,25,30, off, class1,0.908883827,0.909090909
sgd, tanh,25,30, off, class2,0.894646925,0.775
